类型,课,序号,日语,英语,中文,现有尼语,问题说明,建议修正
ERROR,1,62,性格,character,性格,सही,"「性格」误译为""正确""",व्यक्तित्व/स्वभाव
ERROR,1,69,ずいぶん,"rather, awfully",大概,प्रशस्त,"「ずいぶん(相当)」误译为""充足""",धेरै/निकै
ERROR,2,86,共有-する,to share,共有，共同,"घटना, उपकथा संग्रह","「共有する(共享)」误译为""事件、轶事集""",साझा गर्नु
SUSP,2,8,与える（印象を与える）,to give (an impression),给予,छाप्ु (छाप छाप्ु),"「印象を与える」误译为""盖章/打印""(छाप्नु)",प्रभाव पार्नु
ERROR,3,17,つい,"can’t help, despite",不知不觉，无意之中,आखिरमा आएर,"「つい(不由自主)」误译为""最终""",अन्जानमा/नचाहँदै
DUP,4,81,進む（100メートルぐら）,"to advance (100 meters), to move",前进（100米左右…）,राम्रोो होो भनि सल्ाह दिनु/ सिफारिस गर््ननु,"「進む」的尼语复制自""荐める""(推荐)",अगाडि बढ्नु
ERROR,4,84,灰色,grey,灰色,खैैरोो रङ्ग,"「灰色(grey)」误译为""棕色""(खैरो)",फुस्रो/खरानी रङ्ग
SUSP,5,61,組む,"to cross (legs, arms, etc.)",交叉,मिल्नु/मिलाउनु,"「組む(交叉)」误译为""匹配""",क्रस गर्नु/जोड्नु
ERROR,6,65,企業,company,企业,कारखाना,"「企業」误译为""工厂""(कारखाना)",कम्पनी/उद्यम
ERROR,7,44,ただ,just,仅仅，只有,यद्यपी/नि:शुल्क,"「ただ(仅/免费)」误译为""虽然/免费""(与3课同错)",मात्र/केवल
DUP,7,68,～代（40代）,generation/decade (40s),～年代(40年代),(ठूलोो बिक्री) ठूलोो～,"「～代(40代)」尼语复制自""大セール""(大甩卖)",~को दशक/उमेर
DUP,8,73,受ける（ショックを受ける）,"to receive, to get (to",受到，接受,स्ीकार गर््ननु (निमन्त्र णा स्ीकार गर््ननु),"「ショックを受ける」尼语复制自""誘いを受ける""",आघात लाग्नु
SUSP,8,11,さらす,to immerse,晒，暴晒,लगाउनु,"「さらす(晾晒)」误译为""穿/涂""(लगाउनु)",उघार्नु/सुकाउनु
DUP,10,66,なお,"also, as well","更加,愈发,仍然",बनाउनु/मर््मत गर््ननु,"「なお(此外)」尼语复制自""直し""(修理)",थप/अझ
