L1#  1 | それでは | त्यसोभए
L1#  2 | 自己紹介 | आफ्नो परिचय
L1#  3 | ～と申します | (आफू) लाई भनिन्छ
L1#  4 | では | त्यसोभए/अब
L1#  5 | いらっしゃいます | (अरू) हुनुहुन्छ
L1#  6 | 方 | (अरू) व्यक्ति
L1#  7 | 参りました | (आफू) आइपुगेँ
L1#  8 | 者 | (आफू) व्यक्ति
L1#  9 | （お）刺身 | काँचो माछाको टुक्रा
L1# 10 | チラシ | पर्चा
L1# 11 | お先に失礼します | म अगाडि जान्छु
L1# 12 | 問い合わせ | सोधपुछ
L1# 13 | こちらへどうぞ | यहाँ आउनुहोला
L1# 14 | 日常会話 | दैनिक कुराकानी
L1# 15 | 失礼します | माफ गर्नुहोला
L1# 16 | 半年 | ६ महिना
L1# 17 | 少々お待ちください | केही छिन पर्खनुहोला
L1# 18 | ホームページ | वेब साइट
L1# 19 | よろしくお願いいたします | योरोसिकु ओनेगाइसिमास (एक-आपसमा परिचय गर्दा भनिने)
L1# 20 | 面接 | अन्तरवार्ता
L1# 21 | 履歴書 | बायोडाटा
L1# 22 | 思い出す | याद आउनु
L1# 23 | 意見 | विचार
L1# 24 | 希望・する | चाहाना गर्नु
L1# 25 | お年寄り | पौढ
L1# 26 | 募集・する | आवेदन फारम खुल्नु
L1# 27 | 楽器 | बाजागाजा
L1# 28 | 言葉 | शब्द वा भाषा
L1# 29 | 入力・する | मेशिनमा नाम आदि उल्लेख गर्नु
L1# 30 | 自分 | आफू
L1# 31 | 出身 | बाट आउनुभएको
L1# 32 | 建物 | बिल्डिङ/भवन
L1# 33 | 話 | कुराकानी
L1# 34 | 野外ライブ | खुला चौरको लाइभ इभेन्ट
L1# 35 | 歴史 | इतिहास
L1# 36 | ～個 | ～वटा
L1# 37 | ～地（例：観光地） | ～स्थल (जस्तै: पर्यटन स्थल)
L1# 38 | 聞き取る | सुनेर बुझ्न सक्छे
L1# 39 | 覚える | सम्झनु
L1# 40 | 応援・する | सघाउनु/हौसला दिनु
L1# 41 | サイクリング・する | साइक्लिङ गर्नु
L1# 42 | 遅い | ढिला
L1# 43 | 速い | चाडोछिटो
L1# 44 | つまらない | दिक्क लाग्छ
L1# 45 | 得意（な） | पोख्त
L1# 46 | 苦手（な） | कमजोर
L1# 47 | 無理（な） | असम्भव
L1# 48 | 朝早く | बिहान सबेर
L1# 49 | 字幕 | अक्षरमा लेखिएको, सबटाइटल
L1# 50 | 大好き（な） | एकदम मनपर्ने
L1# 51 | だいたい | लगभग
L1# 52 | まず | सबभन्दा पहिले
L2#  1 | ファスナー | फसनर
L2#  2 | うれしい | खुशी लाग्छ
L2#  3 | ボタン | टाँक
L2#  4 | 恥ずかしい | लाज लाग्छ
L2#  5 | 次 | त्यसपछि/अर्को
L2#  6 | 違う | फरक
L2#  7 | もう一度 | फेरि एक पटक
L2#  8 | イメージ・する | खाका कोर्नु
L2#  9 | 説明・する | वर्णन गर्नु
L2# 10 | 腕時計 | हाते घडी
L2# 11 | 配達・する | डेलिभर गर्नु
L2# 12 | 指輪 | औंठी
L2# 13 | コート | कोट
L2# 14 | 重い | गहुङो
L2# 15 | コートを着る | कोट लगाउनु
L2# 16 | 軽い | हलुका
L2# 17 | ちょうどいい | एकदम ठीक्क
L2# 18 | ジーンズ | जिन्स
L2# 19 | セーター | सुइटर
L2# 20 | 丈夫（な） | बलियो
L2# 21 | もっと | अझ बढी
L2# 22 | 画面 | स्क्रिन
L2# 23 | もっと大きいかばんがほしい | अझ ठूलो झोला चाहन्छु
L2# 24 | サイズ | साइज
L2# 25 | 数字 | सङ्ख्या
L2# 26 | ちょっと | अलिकति...
L2# 27 | スーツケース | सुटकेस
L2# 28 | いかがですか | तपाईंलाई कस्तो लाग्छ?
L2# 29 | 棚 | दराज
L2# 30 | かしこまりました | हुन्छ, जो आज्ञा!
L2# 31 | 取っ手 | ह्यान्डल
L2# 32 | ヒール | हील
L2# 33 | 意味 | अर्थ
L2# 34 | ソースをかける | सस हाल्नु
L2# 35 | 両替・する | पैसा चेन्ज गर्नु
L2# 36 | 営業中 | खुला रहेको
L2# 37 | 定休日 | तोकिएको बिदा
L2# 38 | 割引・する | डिस्काउन्ट गर्नु
L2# 39 | 得（な） | लाभदायक
L2# 40 | 大盛り | खानाको रास
L2# 41 | おかわり | खाना थप्ने
L2# 42 | どういう | कस्तो खालको
